Province,TemperatureMinC,TemperatureMaxC,PrecipitationMax,ElevationM
Agort,-5.0,-5.0,36.0,20.0
Alanbie,19.0,21.0,10.0,34.0
Aloies,21.0,24.0,8.0,35.0
Alonse,19.0,20.0,8.0,29.0
Balques,15.0,20.0,25.0,25.0
Baxe,11.0,18.0,45.0,27.0
Brien,19.0,22.0,9.0,31.0
Bushard Bay,17.0,23.0,18.0,25.0
Côte d'Avoigne,21.0,22.0,5.0,31.0
Côte-Anglaise,21.0,24.0,7.0,32.0
Duchés-Saints,16.0,32.0,29.0,43.0
Fleury,19.0,26.0,33.0,36.0
Gibaltage,-1.0,-1.0,34.0,25.0
Grande-Capitale,15.0,17.0,14.0,21.0
Grâdes,24.0,27.0,6.0,33.0
Hors-Grande-Vénésie,20.0,22.0,7.0,31.0
Isulae,16.0,18.0,15.0,23.0
Jance,19.0,21.0,7.0,31.0
Marcio,14.0,19.0,12.0,28.0
Milela-Cale,27.0,31.0,19.0,37.0
North Milela,26.0,28.0,6.0,34.0
Nouvelle-Étalie,21.0,28.0,14.0,28.0
Ombrie,15.0,19.0,17.0,29.0
Prisoñia,20.0,20.0,35.0,30.0
Pruxe-Slamique,21.0,23.0,24.0,26.0
Quoueta-Et-Milenniar-Étalois,32.0,32.0,25.0,20.0
Romagna,18.0,25.0,12.0,31.0
Talon Andrien,6.0,16.0,49.0,24.0
Talon Étalien,4.0,15.0,41.0,25.0
Territoire-D'Angé,15.0,25.0,7.0,27.0
Territoire-Des-Chrits,15.0,23.0,11.0,31.0
Territoire-Du-Nord,22.0,34.0,13.0,40.0
Territoire-Du-Roy,11.0,32.0,20.0,32.0
Territoire-Du-Sud,6.0,32.0,31.0,30.0
Tivainne,24.0,26.0,6.0,33.0
Tonawa,22.0,25.0,30.0,22.0
Vénésie,15.0,22.0,25.0,26.0
Vénéz,18.0,20.0,7.0,30.0
Île Saint-Étienne,13.0,15.0,38.0,20.0
