Municipalite,Province,Population
Abajou,Marcio,97000
Angerce,Pruxe,52000
Angé,Territoire-D'Angé,5410
Anshenfield,Côte-Anglaise,41000
Arc-Étalien,Talon Andrien,180000
Beaumont,Marcio,67000
Belles,Pruxe-Slamique,2046
Boréalise,Territoire-Du-Nord,245000
Breaux,Pruxe-Slamique,244
Caracuaus,Duchés-Saints,78000
Centreval,Territoire-Du-Roy,82000
Chritsburg,Territoire-Des-Chrits,148000
Commori,North Milela,23951
Dineroy,Duchés-Saints,11000
Duc Dalma,Duchés-Saints,95000
Duc Dejolicour,Duchés-Saints,1205
Duc Demarche,Duchés-Saints,38000
Duc de Fordunc,Duchés-Saints,45000
Duc de Forquoueta,Quoueta-Et-Milenniar-Étalois,1506
Duc de Laungay,Duchés-Saints,5212
Estmontagne,Territoire-Du-Nord,42000
Foncet,Talon Andrien,145000
Frontburg,Territoire-Du-Nord,28000
Gibaltage,Gibaltage,14000
Harland,Côte-Anglaise,28000
Imperiola,Territoire-Du-Roy,390000
Imperoma,Grande-Capitale,3729391
Ingresa,Prisoñia,24000
Korsk,Agort,50
Lacosud,Territoire-Du-Roy,48000
Lacétal,Territoire-Du-Roy,118000
Lataylon,Grande-Capitale,148000
Lionnes,Talon Andrien,83000
Maréchaux,Talon Étalien,54000
Mer Saint-Louis,Territoire-Du-Sud,580000
New Roma,Bushard Bay,1344
Newhouse,Côte-Anglaise,210000
Nopol,Talon Andrien,112000
Nordvale,Territoire-Du-Nord,16200
Nouvel Hamlet,Talon Étalien,38000
Nouvel-Étalo,Nouvelle-Étalie,2980000
Nouvelles-Tangé,Talon Andrien,45000
Oursinville,Fleury,48000
Port Saint-Étienne,Île Saint-Étienne,28000
Port-Aux-Souverains,Fleury,892000
Port-DuRoy,Territoire-Du-Roy,720000
Port-Méridien,Territoire-Du-Sud,105000
Port-Élizabeth,Fleury,67000
Ribone,Marcio,31000
Rive-DesRoys,Territoire-Du-Nord,68000
Roydé,Territoire-D'Angé,763
Roymont,Territoire-Du-Roy,310000
San Bautista-Colón-de-Dios,Duchés-Saints,210000
San Pele,Duchés-Saints,120000
Sintro-Cueva,Duchés-Saints,85000
Sudmark,Territoire-Du-Sud,132000
Sudvilla,Territoire-Du-Sud,55000
Valcourt,Territoire-Du-Nord,35000
Victoriaville,Fleury,34000
Yara-Notre-Sauveur,Talon Andrien,482
