Province,Capitale,AireKm2,Population
Agort,Korsk-Cadic,592,50
Alanbie,,4048,215000
Aloies,,11984,673000
Alonse,,7008,437000
Balques,,11504,821000
Baxe,UR,46416,2953000
Brien,,8112,556000
Bushard Bay,New Roma,18512,1127344
Côte d'Avoigne,Newhouse,2112,86000
Côte-Anglaise,Newhouse,3536,331000
Duchés-Saints,Duc Dejolicour,69808,4057509
Fleury,Port-Aux-Souverains,34784,2637000
Gibaltage,Gibaltage,400,22000
Grande-Capitale,Lataylon,1296,4012391
Grâdes,,9808,329000
Hors-Grande-Vénésie,,8096,509000
Isulae,,4912,355000
Jance,,5008,319000
Marcio,Lataylon,21120,1615000
Milela-Cale,,19552,686000
North Milela,Commori,2896,118951
Nouvelle-Étalie,Nouvel-Étalo,26832,4392000
Ombrie,,13216,875000
Prisoñia,Ingresa,528,34000
Pruxe-Slamique,Angerce,2288,155675
Quoueta-Et-Milenniar-Étalois,Duc de Forquoueta,400,23506
Romagna,,22464,1408000
Talon Andrien,Yara-Notre-Sauveur,25584,2221482
Talon Étalien,Maréchaux,34464,1646000
Territoire-D'Angé,Nordvale,48432,3821407
Territoire-Des-Chrits,Chritsburg,32816,2344632
Territoire-Du-Nord,Nordvale,48560,2907200
Territoire-Du-Roy,Estmontagne,49264,4791000
Territoire-Du-Sud,Mer Saint-Louis,58528,4464722
Tivainne,,7568,230000
Tonawa,,5680,164000
Vénésie,,23040,1472000
Vénéz,,3776,234000
Île Saint-Étienne,Port Saint-Étienne,880,97000
